InvoiceNo,InvoiceTotal
536596,38.09
536938,1680.8799999999999
537252,26.349999999999998
537691,310.57
538041,0.0
538184,458.91999999999985
538517,320.28000000000003
538879,338.9799999999999
539275,403.79999999999995
539630,751.0
536597,102.79
536608,38.1
536765,0.0
537439,0.0
537631,17.4
537870,0.0
538142,0.0
538177,6272.010000000006
538308,363.24
539064,58.7
539570,327.59999999999997
540184,119.30000000000001
536414,0.0
537246,129.4
537256,2263.7999999999993
537634,231.9
537871,167.09
537874,0.0
538365,338.5999999999999
538558,309.72
C539068,-45.0
539075,227.21999999999994
539242,36.08
539298,136.25
540003,368.79999999999995
537111,180.44000000000003
537350,419.06
537467,118.25
537469,102.0
537666,5058.040000000007
538001,0.0
538092,0.0
C538798,-15.8
539085,164.64
539752,383.7
536550,0.0
C537805,-26.38
537878,0.0
C538103,-17.0
538851,310.84999999999997
539098,395.15999999999997
539332,144.0
C539710,-10.15
539727,71.28
536943,187.51000000000002
537051,350.67999999999995
537141,517.6500000000001
C537600,-1.0
537614,322.79999999999995
C538105,-16.599999999999998
C538711,-1.25
540121,366.06
540241,0.0
536460,295.53999999999996
C537445,-9.35
538627,14.439999999999998
538724,2.95
539379,177.15
539406,214.20000000000002
539708,1121.38
539718,1261.19
539721,324.0
539980,0.0
540043,173.38999999999996
536626,12.600000000000001
536968,534.0
537049,277.65
537054,152.04999999999998
537476,957.5
538148,2215.27
538310,25.799999999999997
538419,170.91000000000003
538504,168.15
538510,169.46999999999997
538513,179.10000000000002
539081,2.95
536603,22.200000000000003
536619,97.19999999999999
536798,717.1600000000001
538635,250.03999999999994
539002,269.31
540182,229.56
536398,426.56000000000006
537228,25.200000000000003
537449,0.0
538046,0.0
C538059,-238.20000000000002
538521,339.4000000000001
538630,1167.4100000000005
538645,310.74
538810,140.4
539009,498.1600000000001
539414,212.60999999999999
539487,215.01000000000005
539688,150.0
536523,203.3
536759,311.24999999999994
537081,1145.06
538280,612.1
539038,308.36999999999995
539494,0.0
540116,10.129999999999999
C536827,-20.85
537016,0.0
537212,473.39
537761,19.799999999999997
537883,63.0
538526,1206.72
C538717,-35.400000000000006
538993,101.2
539353,463.5
536374,350.4
537298,153.5
538638,232.01000000000002
538668,110.7
536688,22.200000000000003
536956,304.95
537126,475.85999999999984
537436,0.0
537760,307.82
538905,303.15000000000003
540016,168.3
536386,508.20000000000005
536627,306.20000000000005
537675,5.04
538172,370.80000000000007
538199,182.24999999999997
538639,243.0
C538763,-30.0
C539072,-27.799999999999997
539094,157.35
539334,25.95
540245,379.43999999999994
536612,206.76000000000002
537014,0.0
537133,206.23
537636,172.0
C539253,-109.5
539290,133.22
539328,300.03999999999996
539404,108.91999999999999
539989,3.75
536577,497.0
C536820,-16.95
C538680,-966.92
538910,165.85
539201,322.01
539281,476.34999999999997
539311,357.94000000000005
539324,124.51000000000006
539453,5022.160000000001
536803,22.5
536842,263.62
538358,21.7
C538375,-9.95
539488,1001.5199999999996
539733,47.74999999999999
536477,2474.7399999999993
537605,166.74
539016,571.48
539591,237.60000000000002
539724,382.5
539742,392.7199999999999
540100,0.0
C540156,-10.95
C536817,-7.5
537368,377.5
537653,268.72999999999996
538051,205.35
538078,374.25
538208,111.80000000000003
538509,122.7
536583,198.0
536844,189.3
537245,58.2
537412,177.60000000000002
537655,111.14999999999999
538037,112.6
C538350,-183.59999999999997
539755,45.35
540040,547.56
C540171,-22.97
536528,313.9299999999999
536585,19.9
537243,50.400000000000006
537804,130.64000000000001
537826,272.34000000000003
539091,163.8
539641,134.14
539858,610.8000000000001
539951,33.150000000000006
539749,0.0
536366,22.200000000000003
536834,35.400000000000006
537351,116.08000000000001
537354,133.06999999999994
C537373,-12.75
538247,0.0
538722,307.38999999999993
539446,858.0
539734,7.95
539762,500.0
C539944,-9.95
536592,6915.650000000008
C536757,-280.8
536992,91.8
C538119,-20.1
539032,74.4
540099,733.92
C540152,-2.95
536541,15.0
C536807,-23.849999999999998
537435,221.50000000000003
C537652,-6706.71
537693,173.55
537818,1149.29
537884,525.93
538045,0.0
538307,213.26
538409,126.27999999999997
538685,15.0
539740,1041.3200000000004
540240,417.81000000000006
536387,3193.92
536640,45.849999999999994
536671,136.2
538169,93.45000000000002
C539573,-14.75
C539575,-85.2
539731,8520.919999999998
536971,248.16
537195,650.64
537207,188.77
C538083,-14.25
538131,0.0
538161,0.0
538379,212.60000000000005
C539104,-4.949999999999999
C539945,-13.500000000000002
540001,474.66
536385,130.85
C537408,-25.5
537896,258.95000000000005
538036,0.0
538306,202.5
538867,3.75
539305,320.15000000000003
540149,481.7
536375,259.86
536779,15.0
537139,33.15
C537812,-209.0
537827,63.0
C538377,-11.6
539475,364.9799999999998
536733,329.65000000000003
536804,1714.2500000000005
537013,0.0
538210,523.8599999999999
538687,650.0999999999999
538753,134.64999999999998
539312,556.5
539567,101.76
540168,445.2200000000002
536555,2.9699999999999998
537632,13541.33
C537656,-131.39999999999998
537839,12.87
538137,0.0
538211,239.7
538473,177.66000000000003
539196,750.6400000000001
536403,192.60000000000002
C536818,-1.25
536845,127.55000000000001
537077,179.64
C537203,-12.899999999999999
537618,2022.16
538354,2157.640000000001
538523,384.54999999999995
539216,16.15
540180,107.89000000000001
537468,415.46000000000004
537534,924.59
538156,620.3499999999998
538309,114.45000000000002
538665,177.35000000000002
538706,312.40000000000003
538850,147.35
539662,117.60000000000001
539750,18745.859999999997
C536734,-24.95
536957,791.7000000000002
537050,555.8399999999999
538134,0.0
538195,337.5
538636,676.5400000000002
538811,709.9999999999999
538871,476.70000000000005
538945,1761.26
539217,587.6599999999999
539470,279.88
C536548,-122.3
536739,201.75
536787,192.46
537378,784.1500000000002
537683,365.4
537868,1867.9800000000002
538094,186.03
C538684,-32.65
C538755,-12.75
539001,102.0
539283,250.65
539633,73.80000000000001
540098,160.38000000000002
540146,261.5
C540244,-3.8000000000000003
C536625,-29.9
537231,308.79999999999995
538832,413.7899999999999
539047,219.6
539325,357.01
536535,194.85000000000002
536786,324.0
C536828,-14.5
537055,273.29
537135,722.3599999999993
537312,311.24
537458,293.45
537484,1830.02
C537834,-13.900000000000002
537844,190.34
537864,336.94000000000005
C538098,-8.5
C538694,-5.1
539321,220.05999999999995
537248,56.25
537390,123.24
537689,301.52000000000004
538827,2594.7599999999993
539323,3.42
C539719,-25.200000000000003
536367,278.73
536371,204.0
536558,99.75
536796,375.65
C536815,-1.67
C536854,-5.45
537764,145.93000000000004
C537860,-295.09000000000003
538106,72.82000000000001
C538704,-19.9
538890,362.7900000000001
538992,428.82
539185,216.33999999999997
539326,408.16999999999996
539401,792.99
C540030,-90.0
539316,97.3
536377,22.200000000000003
536752,390.6600000000001
C536853,-2.55
537026,346.1
537138,273.3
538003,1281.5000000000002
538165,185.82
538188,2.95
538708,365.27000000000004
538778,39.45
538999,1181.0000000000002
539450,196.75
539492,2529.809999999999
540148,364.8
537641,1240.1900000000005
537690,329.36
537875,0.0
C538803,-31.65
C538806,-4.25
538873,0.0
C538882,-45.0
540227,4.95
536389,358.25
536764,0.0
536836,263.29999999999995
536989,115.70000000000003
537041,155.64
C537143,-7.95
537155,75.64000000000001
537419,510.94999999999993
537669,164.25
537891,88.8
538061,0.0
538166,119.45000000000002
538192,135.0
538470,11.6
539263,332.1799999999999
539720,97.84
540004,76.32000000000001
540032,299.92
536395,507.8800000000001
536813,189.79999999999998
C537398,-4.95
538079,394.18000000000006
C538102,-9.3
C538701,-1.45
C539287,-67.2
540161,152.45
536632,312.79999999999995
536865,2396.960000000001
537658,395.76
C537756,-103.0
537829,525.8
538074,0.0
C538698,-13.200000000000001
C538742,-3.9
C539195,-42.5
540017,215.41000000000003
537018,0.0
537456,1989.2399999999998
537640,11540.340000000004
538170,317.59
538519,31.299999999999997
538870,85.75
C539598,-240.84999999999997
540170,170.4
540238,583.3700000000005
539315,230.7
536407,22.200000000000003
C537251,-219.72
537606,631.6499999999999
538998,2605.88
539093,196.60000000000002
540027,363.65999999999997
536588,277.05
537205,165.86000000000004
537433,417.62
537833,590.0
538182,115.08
C538595,-5.1
C539059,-7.9
539442,311.15000000000003
539582,0.0
536564,51.4
537136,273.76
C537807,-54.75
538076,272.36
C538082,-42.0
C538088,-20.4
538525,881.0099999999999
538808,632.5200000000001
539017,15.8
C539271,-10.95
539460,33.0
539480,18.65
540022,388.72
C536826,-23.25
537163,384.71999999999997
537361,0.0
537668,48.800000000000004
537775,910.1400000000002
537862,111.52999999999999
538005,832.8
538133,0.0
538135,0.0
538157,119.64999999999999
C538691,-2.9
538709,151.65999999999997
540242,511.94999999999993
539319,292.5
536780,12.8
537211,355.74999999999994
537464,618.07
538097,315.0
539954,121.61999999999999
536846,413.0999999999998
536995,0.0
537221,37.35
537423,166.0
537599,19.9
537781,513.5999999999999
538039,0.0
538327,401.91999999999996
538418,172.70999999999992
538830,146.46
538831,337.6
C538889,-14.850000000000001
539336,115.9
539595,2094.8999999999987
C539601,-19.9
C539827,-2.1
539958,5262.059999999995
536521,4.95
536617,1095.1200000000001
537042,238.10999999999987
537131,547.1
537385,125.10000000000002
537420,335.29999999999995
537682,99.6
539481,11.7
539309,279.85
537140,70.41999999999999
537249,33.0
C537379,-21.0
537765,215.88
538015,224.07
539261,424.48999999999984
539313,312.98
C540112,-197.1
539314,540.45
536594,79.5
536639,288.49999999999994
537453,0.0
537538,311.65000000000003
537616,15.9
539078,379.68
539095,300.46
539268,29.700000000000003
C539277,-25.5
C539577,-8.5
539859,192.4
540096,476.48
C537234,-39.0
C537314,-27.0
537489,511.79999999999995
537654,135.05
537679,24.59
538011,257.21999999999997
538268,116.9
538841,170.54999999999998
539218,3.75
C539221,-220.5
C539279,-17.0
539443,668.88
539561,339.7200000000001
539647,216.76
540166,660.0
536771,118.38
537867,307.25
538038,0.0
C538699,-31.8
C539276,-10.5
539472,31.619999999999997
539597,61.199999999999996
539645,0.95
536643,223.7
536735,211.2
536824,408.0
537771,450.91999999999996
538437,110.1
539080,404.82
C539291,-10.55
539483,99.5
C539947,-29.700000000000003
539996,0.0
536396,376.36000000000007
536610,22.200000000000003
536859,294.25
536866,8.47
537455,0.0
538086,378.53000000000003
538090,0.0
538138,0.0
539247,228.5
539634,144.5
539664,25.200000000000003
539717,65.4
539748,76.91999999999999
536681,113.91999999999999
537210,209.84
537363,0.0
C537820,-8.5
537831,106.77
537955,371.69999999999993
538040,325.7599999999999
538197,124.1
538453,330.91999999999996
536514,295.50000000000006
536792,30.0
536806,45.120000000000005
536808,247.8
536830,2002.4
536944,620.0
537395,150.21999999999997
537759,203.64
537858,24.95
537901,309.4
538065,428.6
538518,1050.3500000000001
C538530,-64.35
C538833,-40.199999999999996
538872,304.90000000000003
539083,32.25
539405,919.04
539642,242.92
539766,351.08000000000004
540239,835.1100000000001
536538,254.99999999999997
537609,617.1200000000001
537625,87.5
C538062,-88.14999999999999
538171,300.6399999999999
538369,283.28
538533,357.61
C538887,-10.95
539008,307.8
540024,23.8
540093,112.30000000000001
536621,350.05999999999995
536972,230.25000000000003
537687,0.0
537850,318.84
537897,213.88000000000005
538096,3.7199999999999998
538248,139.67999999999998
538660,1228.4000000000005
538683,462.3
C538997,-11.2
C539640,-20.27
537017,0.0
537430,0.0
537915,254.03
538077,686.1499999999999
538637,244.1899999999999
539248,133.56
C539709,-27.7
539735,596.3400000000001
540018,0.0
536566,116.25
536618,780.12
537048,5.9
537421,292.5399999999999
537638,6293.860000000002
537772,316.45999999999987
537852,2671.27
538361,157.99999999999997
538370,550.4999999999999
539501,287.45000000000005
536415,390.78999999999985
536589,0.0
536857,128.03
537003,0.0
C537157,-30.0
C539100,-5.9
539586,962.2399999999999
539650,96.44000000000001
536384,489.6
536522,191.0599999999999
536623,768.38
537225,496.4799999999999
537472,111.54
537738,287.08
537849,75.0
538071,7268.65
538146,402.31999999999994
C538344,-25.200000000000003
538652,476.96000000000004
539050,195.89
536811,527.85
537598,319.0
537796,405.16
537873,0.0
538657,201.39999999999998
C538690,-117.45
538903,501.01000000000005
539006,102.28
539225,1491.4600000000003
C539329,-1491.0
C539402,-49.900000000000006
539761,662.8999999999999
536508,155.52
536614,22.200000000000003
536673,339.84
536976,149.8
537156,251.25
537823,6073.709999999997
537899,3794.3999999999996
539040,171.05
539052,17.700000000000003
C539278,-29.700000000000003
539636,631.96
540187,653.86
539729,7.95
536576,2558.4199999999996
536584,1132.8000000000002
536620,485.25
536750,434.80000000000007
536791,44.400000000000006
536852,89.14
537012,0.0
537391,554.6599999999999
537401,0.0
537619,230.4
C537824,-14.899999999999999
538651,280.94
C538686,-2.55
C538703,-4.949999999999999
539211,430.2799999999999
539285,105.54
539294,356.34999999999997
539723,434.0
540031,431.88
536601,22.200000000000003
536781,50.400000000000006
536997,0.0
537213,8.649999999999999
537407,192.7
537890,100.19999999999999
538008,849.1999999999998
538944,201.2
539739,1077.8000000000004
536630,244.46000000000004
536782,517.9499999999999
537265,270.7199999999999
537362,392.61999999999983
539464,218.05
540059,385.79999999999995
539335,320.1
536732,354.5399999999999
536742,198.07999999999996
537192,211.79999999999993
537810,23.85
538204,428.76
C538745,-1.45
539048,80.64
C539073,-3.5
539420,158.16000000000003
539474,12.8
539643,10.350000000000001
540176,3862.1399999999994
540188,296.65999999999997
538035,372.0900000000001
538128,0.0
C538723,-27.749999999999996
539246,104.48000000000002
539437,5946.490000000003
C539956,-69.75
536552,0.0
536839,623.7300000000001
C537320,-8.95
537768,39.0
538048,181.0
538875,307.8
539088,1827.91
539269,46.85
539297,147.89999999999998
539469,283.52
539659,842.9000000000002
540172,138.98
536404,471.29999999999995
536520,313.48999999999995
536769,668.3999999999999
537200,112.9
538671,365.54999999999995
538801,337.98
539254,243.11999999999998
539262,351.3
539592,14.850000000000001
540008,0.0
536573,143.12
536756,66.65
536840,155.35
537359,184.10000000000002
538055,0.0
C538081,-64.35
538207,271.4699999999999
539266,131.3
C539274,-8.5
539306,112.15
540169,229.74999999999997
536537,369.50000000000006
536593,81.75
537367,25.200000000000003
537866,676.1
537885,258.75
538107,155.0
539086,397.96
536412,514.4099999999999
536539,487.75
537215,358.55999999999995
537448,39.599999999999994
538140,0.0
538181,151.5
538255,1156.05
538648,760.32
C538681,-316.3
C539224,-175.0
539571,15.9
536534,115.65
537001,0.0
537627,713.88
537770,295.66
538032,174.4
538154,294.01
538158,0.0
538403,324.22
538951,206.29000000000005
539473,411.09999999999997
539985,968.77
537179,806.2800000000002
537384,122.7
C537602,-76.32000000000001
537629,356.86999999999995
537888,524.35
537900,382.65999999999997
C538110,-152.64000000000001
538296,309.40000000000003
538360,0.0
539005,20.4
539215,210.74999999999994
539419,415.7
536609,244.46000000000004
537208,297.9199999999999
537218,320.08
537802,692.9399999999999
537816,129.75
C539058,-67.5
539579,344.11
C539644,-300.65000000000003
536835,295.0
537037,256.9
537743,151.95
537813,376.30000000000007
538080,251.00000000000003
538283,10.29
538656,97.63
C538749,-9.95
539407,170.27999999999997
539745,457.32000000000005
536399,22.200000000000003
536698,326.0
537005,0.0
537460,326.4
C537677,-1.95
537767,350.4
537851,356.4
C538100,-30.599999999999998
C538121,-12.75
538783,976.7000000000002
539631,2103.9999999999995
539921,20.3
536544,5521.140000000006
536633,204.15000000000006
536674,127.08000000000003
536751,22.200000000000003
536777,138.1
537865,237.95
538537,347.71000000000004
538666,12.850000000000001
538886,411.40000000000015
539108,204.0
539440,250.0
540114,243.39999999999998
536778,193.23000000000002
C536850,-1192.2000000000003
537240,7660.480000000003
537382,375.47
537692,671.2100000000002
C537821,-20.85
538072,0.0
538126,218.4
538527,418.9200000000001
538534,40.8
538935,186.64000000000001
C539031,-52.900000000000006
539286,252.2
539296,75.78
539374,347.01
539421,753.74
536837,308.68
537780,127.05000000000001
538132,0.0
539444,1241.43
C539476,-4.95
539760,424.16999999999996
540020,109.3
537399,427.74
537791,147.39999999999998
C538725,-25.0
538852,198.06999999999996
539118,270.19000000000005
539331,216.0
539403,224.8
539456,190.64999999999995
539646,28.5
539759,2.1
539825,9.35
536790,532.01
536946,841.94
538507,767.3700000000002
539459,334.84
539675,114.60000000000001
536394,1024.6800000000003
536607,303.97
536754,210.24
C536822,-37.65
536986,124.14
537217,167.20000000000002
C537613,-313.78
C538089,-6.75
538174,1982.4099999999999
538849,875.18
538896,302.78000000000003
539092,527.04
539572,433.5
C539832,-2.55
539995,0.0
536590,205.85999999999999
C536760,-11.8
536793,170.7
537257,142.50000000000003
537377,270.52
538129,0.0
538397,3590.5900000000006
538597,171.03999999999996
539836,135.34
536613,208.96999999999997
538848,1188.0
538869,61.05
539454,196.78
539758,4.25
540150,38.25
536987,272.01
537090,15.0
537447,151.3
C537572,-95.38
537848,180.0
539994,0.0
539725,182.18999999999994
536809,1003.2
536990,131.8
536999,0.0
538263,228.11999999999998
538902,306.18
C539191,-3.9
539398,29.700000000000003
C539565,-25.25
540023,794.6599999999999
536707,199.64999999999998
536736,824.88
536802,197.3
536885,549.0
537400,422.81000000000006
C537406,-167.2
537633,24.9
537773,382.2699999999999
537774,281.0
537872,0.0
537894,464.60999999999996
538056,249.64999999999998
538196,1071.9
538520,23.3
539223,2.5
539458,52.750000000000014
539629,239.89999999999998
540160,2574.48
536408,783.1099999999999
536554,0.0
536977,108.78
537410,151.20000000000002
537642,2164.51
537837,313.72
538064,111.75
C538376,-16.65
538799,706.2500000000002
538877,12681.579999999998
539408,183.74000000000004
539465,2062.4399999999996
539583,0.0
539864,134.55
539986,15.25
540179,481.14
536536,165.04999999999998
536743,261.76000000000005
C537132,-289.15
538689,300.92
538829,326.4
C539066,-15.399999999999999
539280,76.55
C540246,-64.14999999999999
537567,181.11999999999998
537822,566.9499999999999
538194,0.95
538715,325.22
C538771,-4.95
C539003,-26.93
539252,377.52
539410,102.0
539423,148.95
C539948,-15.0
540126,1209.1000000000001
536392,318.14000000000004
536437,842.12
536581,330.0
537209,192.67999999999998
537233,353.00000000000006
537371,185.97
537403,30.450000000000003
C537431,-5.95
C537597,-281.0
537811,268.86
538349,6602.309999999992
539112,328.77000000000004
C539438,-295.0
536402,357.0
536745,341.9
C536758,-2.1
C536825,-6.65
C537402,-192.7
C537788,-18.3
537809,118.30000000000001
537898,364.40000000000003
538351,12633.669999999996
538528,103.5
538856,293.4
538899,123.1
539551,286.59999999999997
536641,4.25
536753,22.200000000000003
537144,343.28
537223,164.7
537253,351.47
C538536,-40.8
539594,239.39999999999998
539660,9.2
540175,1910.4
536463,17.4
536579,315.96000000000004
536741,202.11999999999998
536982,10661.690000000004
537031,135.0
537137,535.5999999999999
538881,718.35
C539055,-102.0
C539448,-30.24
539587,754.1599999999999
C539589,-13.88
539991,78.7
536526,301.24
536602,163.76000000000002
536849,397.5
536980,591.4699999999999
536981,101.14000000000001
537465,454.59999999999997
537601,108.78
C538114,-16.95
538125,30.0
538488,212.07999999999998
