CustomerID,TotalSpent,Rank
14646.0,279489.0199999999,1
18102.0,256438.48999999996,2
17450.0,187482.17,3
14911.0,132572.61999999997,4
12415.0,123725.45,5
14156.0,113384.13999999998,6
17511.0,88125.38,7
16684.0,65892.08,8
13694.0,62653.100000000006,9
15311.0,59419.34,10
13089.0,57385.87999999999,11
14096.0,57120.909999999945,12
15061.0,54228.74000000001,13
17949.0,52750.84,14
15769.0,51823.72,15
16029.0,50992.61000000001,16
14298.0,50862.43999999999,17
14088.0,50415.490000000005,18
17841.0,40340.77999999996,19
13798.0,36351.42,20
16422.0,33805.69,21
12931.0,33462.81,22
16013.0,33366.24999999999,23
15838.0,33350.76,24
17389.0,31300.079999999998,25
17404.0,30300.819999999996,26
12748.0,29072.099999999977,27
13098.0,28658.879999999997,28
13081.0,27964.479999999996,29
13408.0,27487.410000000003,30
14680.0,26932.34,31
17857.0,26763.340000000004,32
16333.0,26626.800000000003,33
13777.0,25748.35,34
15749.0,21535.9,35
16210.0,21086.300000000003,36
12753.0,21024.010000000002,37
17381.0,20272.43,38
17675.0,20098.100000000006,39
15039.0,19786.44,40
12731.0,18793.41,41
12471.0,18740.920000000002,42
15159.0,18573.68,43
12678.0,17588.260000000002,44
17428.0,17078.45,45
13881.0,16989.52,46
13767.0,16945.710000000003,47
12921.0,16389.74,48
12901.0,16293.099999999999,49
17677.0,16219.220000000001,50
15856.0,16173.669999999998,51
15189.0,15802.139999999998,52
14051.0,15477.34,53
16839.0,15357.779999999999,54
14031.0,14634.640000000001,55
15513.0,14520.080000000004,56
16133.0,14305.660000000003,57
14866.0,14197.449999999997,58
16705.0,13946.130000000001,59
12681.0,13677.59,60
12621.0,13612.07,61
12433.0,13375.869999999999,62
12540.0,13309.04,63
12477.0,13117.009999999998,64
17735.0,13110.019999999999,65
14258.0,12650.079999999998,66
15640.0,12433.340000000004,67
13078.0,12432.28,68
15498.0,12396.460000000001,69
16000.0,12393.7,70
12682.0,12288.219999999998,71
12557.0,11990.96,72
16525.0,11895.570000000002,73
17340.0,11891.18,74
14606.0,11713.850000000008,75
12939.0,11581.8,76
14607.0,11341.1,77
14194.0,11216.75,78
15125.0,11117.050000000001,79
12409.0,11056.93,80
14895.0,11020.260000000002,81
12971.0,10930.260000000002,82
13340.0,10736.480000000001,83
17581.0,10736.109999999999,84
13319.0,10664.34,85
14769.0,10641.599999999999,86
17139.0,10585.570000000002,87
13113.0,10510.000000000002,88
14062.0,10464.849999999999,89
16779.0,10454.05,90
17107.0,10380.43,91
15615.0,10360.039999999997,92
15251.0,10327.109999999999,93
16180.0,10217.48,94
16843.0,10183.820000000002,95
17865.0,10158.54,96
17706.0,10097.369999999997,97
12590.0,9861.380000000003,98
13199.0,9803.96,99
13001.0,9797.919999999998,100
15078.0,9623.349999999999,101
13458.0,9537.919999999998,102
14733.0,9451.539999999999,103
16523.0,9295.669999999998,104
12709.0,9294.1,105
14667.0,9231.2,106
14367.0,9167.820000000003,107
12744.0,9120.39,108
12567.0,9114.939999999999,109
18092.0,9065.76,110
13969.0,8986.69,111
12451.0,8933.519999999999,112
13488.0,8910.61,113
16033.0,8727.610000000002,114
13090.0,8689.39,115
17243.0,8628.55,116
17306.0,8600.73,117
17017.0,8574.109999999999,118
16656.0,8568.24,119
18139.0,8393.219999999996,120
16558.0,8257.039999999999,121
15358.0,8234.8,122
12683.0,8221.09,123
14056.0,8124.4000000000015,124
14936.0,8117.42,125
16672.0,8093.59,126
13854.0,8025.0199999999995,127
18109.0,7925.320000000002,128
14952.0,7912.790000000001,129
14849.0,7904.28,130
12428.0,7877.199999999999,131
14796.0,7839.509999999999,132
12435.0,7829.889999999999,133
15290.0,7803.77,134
13629.0,7792.360000000001,135
13093.0,7741.470000000001,136
14527.0,7711.380000000001,137
17811.0,7677.710000000001,138
15044.0,7629.380000000002,139
15194.0,7521.17,140
18172.0,7490.17,141
13263.0,7454.0700000000015,142
17396.0,7330.8,143
18229.0,7276.9000000000015,144
13018.0,7272.75,145
12583.0,7187.340000000001,146
16745.0,7170.7,147
12474.0,7116.469999999999,148
12980.0,7092.0599999999995,149
16729.0,7076.279999999999,150
13324.0,7072.800000000001,151
16873.0,7066.31,152
13985.0,7024.529999999999,153
14961.0,7006.579999999999,154
12766.0,6989.629999999999,155
12798.0,6977.039999999999,156
15465.0,6945.02,157
13027.0,6912.0,158
12989.0,6854.51,159
16187.0,6841.240000000001,160
16713.0,6840.229999999997,161
17416.0,6838.34,162
12705.0,6814.24,163
15023.0,6763.16,164
18055.0,6752.140000000001,165
16532.0,6748.8,166
12830.0,6748.4,167
15601.0,6745.36,168
13576.0,6703.300000000001,169
16746.0,6694.31,170
16353.0,6675.710000000001,171
16923.0,6666.829999999998,172
15249.0,6657.360000000001,173
16652.0,6654.26,174
16182.0,6617.65,175
17338.0,6612.180000000001,176
15482.0,6568.719999999999,177
12476.0,6546.579999999998,178
15144.0,6530.039999999999,179
16814.0,6500.5999999999985,180
15694.0,6423.6,181
12431.0,6416.389999999999,182
13871.0,6389.8,183
12626.0,6388.3499999999985,184
13102.0,6336.29,185
18223.0,6315.2300000000005,186
16126.0,6287.77,187
13709.0,6249.11,188
12359.0,6245.53,189
12472.0,6229.48,190
13668.0,6216.0700000000015,191
12357.0,6207.669999999996,192
17315.0,6204.460000000001,193
15005.0,6180.489999999999,194
14057.0,6147.400000000001,195
14060.0,6135.38,196
15939.0,6102.260000000001,197
17509.0,6100.740000000002,198
13225.0,6083.040000000001,199
14101.0,5976.789999999999,200
12637.0,5953.250000000002,201
15382.0,5927.859999999999,202
13097.0,5893.320000000002,203
13418.0,5845.44,204
14944.0,5842.95,205
13209.0,5820.16,206
14505.0,5818.700000000001,207
13316.0,5815.49,208
14415.0,5811.56,209
14735.0,5807.6900000000005,210
15218.0,5756.89,211
17686.0,5739.46,212
13178.0,5725.469999999999,213
12720.0,5713.28,214
13050.0,5684.610000000001,215
14110.0,5669.65,216
16553.0,5664.570000000001,217
13468.0,5656.75,218
14049.0,5639.15,219
13004.0,5613.43,220
13534.0,5613.079999999999,221
18118.0,5595.77,222
17049.0,5594.780000000001,223
12481.0,5590.859999999999,224
17757.0,5585.49,225
12839.0,5583.619999999999,226
16767.0,5580.600000000001,227
15502.0,5541.460000000003,228
